Date,Price,Open,High,Low,Vol.,Change %
7/18/10,0.10,0.00,0.10,0.10,6.55K,0.00%
7/25/10,0.10,0.10,0.10,0.10,25.29K,0.00%
8/1/10,0.10,0.10,0.10,0.10,28.56K,0.00%
8/8/10,0.10,0.10,0.10,0.10,41.26K,0.00%
8/15/10,0.10,0.10,0.10,0.10,46.72K,0.00%
8/22/10,0.10,0.10,0.10,0.10,52.94K,0.00%
8/29/10,0.10,0.10,0.10,0.00,71.76K,0.00%
9/5/10,0.10,0.10,0.10,0.10,29.59K,0.00%
9/12/10,0.10,0.10,0.20,0.10,43.62K,0.00%
9/19/10,0.10,0.10,0.10,0.10,62.80K,0.00%
9/26/10,0.10,0.10,0.10,0.10,76.07K,0.00%
10/3/10,0.10,0.10,0.10,0.00,472.96K,0.00%
10/10/10,0.10,0.10,0.10,0.10,206.14K,0.00%
10/17/10,0.10,0.10,0.10,0.10,165.87K,0.00%
10/24/10,0.20,0.10,0.20,0.10,205.85K,88.53%
10/31/10,0.40,0.20,0.50,0.10,228.00K,96.08%
11/7/10,0.30,0.40,0.50,0.10,341.46K,-29.23%
11/14/10,0.30,0.30,0.30,0.20,146.41K,0.00%
11/21/10,0.30,0.30,0.30,0.30,73.38K,0.00%
11/28/10,0.20,0.30,0.30,0.20,136.93K,-27.56%
12/5/10,0.20,0.20,0.20,0.20,66.89K,0.00%
12/12/10,0.20,0.20,0.30,0.20,37.50K,0.00%
12/19/10,0.20,0.20,0.30,0.20,40.10K,0.00%
12/26/10,0.30,0.20,0.30,0.20,62.38K,20.05%
1/2/11,0.30,0.30,0.30,0.30,56.70K,0.00%
1/9/11,0.40,0.30,0.40,0.30,97.03K,19.54%
1/16/11,0.40,0.40,0.40,0.30,82.88K,15.10%
1/23/11,0.40,0.40,0.40,0.40,64.42K,0.00%
1/30/11,0.90,0.40,0.90,0.40,177.62K,109.57%
2/6/11,1.10,0.90,1.10,0.80,111.64K,17.39%
2/13/11,0.90,1.10,1.10,0.80,70.90K,-12.13%
2/20/11,1.00,0.90,1.00,0.80,53.11K,0.00%
2/27/11,0.90,1.00,1.00,0.80,71.26K,0.00%
3/6/11,0.90,0.90,0.90,0.80,54.39K,0.00%
3/13/11,0.80,0.90,0.90,0.70,47.85K,-16.67%
3/20/11,0.90,0.80,0.90,0.70,65.51K,11.79%
3/27/11,0.80,0.90,0.90,0.80,37.89K,-8.56%
4/3/11,0.70,0.80,0.80,0.60,94.68K,-6.65%
4/10/11,1.00,0.70,1.10,0.70,222.10K,43.84%
4/17/11,1.70,1.00,2.00,1.00,230.94K,61.90%
4/24/11,3.50,1.70,4.20,1.50,315.37K,105.88%
5/1/11,3.60,3.50,3.90,2.50,154.50K,4.00%
5/8/11,7.20,3.60,8.90,3.60,292.56K,97.80%
5/15/11,6.10,7.20,8.50,5.60,223.19K,-15.00%
5/22/11,8.30,6.10,9.30,6.00,207.81K,35.62%
5/29/11,18.90,8.30,18.90,8.10,272.94K,127.59%
6/5/11,14.60,18.90,31.90,13.00,515.02K,-22.45%
6/12/11,16.90,14.60,25.00,10.30,481.85K,15.29%
6/19/11,17.50,16.90,18.90,16.90,30.18K,3.67%
6/26/11,15.40,17.50,18.00,14.00,179.65K,-12.05%
7/3/11,14.40,15.40,16.50,11.00,366.20K,-6.62%
7/10/11,13.70,14.40,15.70,13.50,190.88K,-4.59%
7/17/11,13.70,13.70,14.70,12.50,263.67K,0.00%
7/24/11,13.50,13.70,14.70,13.30,132.60K,-1.10%
7/31/11,6.60,13.50,14.90,5.70,398.27K,-51.59%
8/7/11,10.10,6.60,12.10,6.00,392.07K,54.66%
8/14/11,11.40,10.10,11.90,9.60,172.35K,13.03%
8/21/11,8.60,11.40,11.50,7.60,226.80K,-24.98%
8/28/11,8.50,8.60,9.50,8.00,112.89K,-1.28%
9/4/11,4.80,8.50,8.50,4.20,476.41K,-43.75%
9/11/11,4.80,4.80,7.40,4.40,413.36K,0.00%
9/18/11,5.50,4.80,6.80,4.70,384.64K,14.68%
9/25/11,5.00,5.50,5.50,4.60,199.84K,-8.04%
10/2/11,4.00,5.00,5.10,3.80,253.06K,-20.28%
10/9/11,3.80,4.00,4.40,3.70,247.14K,-4.24%
10/16/11,3.20,3.80,3.90,2.00,675.35K,-17.71%
10/23/11,3.60,3.20,3.80,2.40,450.69K,13.29%
10/30/11,3.00,3.60,3.70,2.80,268.87K,-17.04%
11/6/11,3.00,3.00,3.20,2.80,252.92K,2.02%
11/13/11,2.20,3.00,3.00,2.00,806.16K,-27.39%
11/20/11,2.50,2.20,2.60,2.20,363.45K,12.27%
11/27/11,2.80,2.50,3.10,2.40,609.05K,12.96%
12/4/11,3.00,2.80,3.10,2.60,388.45K,9.32%
12/11/11,3.20,3.00,3.40,3.00,329.70K,4.92%
12/18/11,3.90,3.20,4.50,3.20,478.62K,23.12%
12/25/11,4.70,3.90,5.00,3.80,457.49K,19.80%
1/1/12,6.80,4.70,7.20,4.60,1.02M,44.28%
1/8/12,6.80,6.80,7.20,5.80,757.50K,-0.88%
1/15/12,6.20,6.80,7.20,4.60,871.36K,-8.44%
1/22/12,5.60,6.20,6.40,5.10,560.59K,-8.90%
1/29/12,5.90,5.60,6.20,5.30,387.00K,4.26%
2/5/12,5.60,5.90,6.00,5.30,720.25K,-4.60%
2/12/12,4.20,5.60,5.80,3.90,1.08M,-24.64%
2/19/12,4.80,4.20,5.20,4.20,595.59K,13.03%
2/26/12,4.60,4.80,5.10,4.50,403.66K,-3.35%
3/4/12,4.80,4.60,5.10,4.60,334.24K,4.77%
3/11/12,5.20,4.80,5.40,4.80,367.60K,8.07%
3/18/12,4.70,5.20,5.30,4.50,475.80K,-10.34%
3/25/12,4.90,4.70,4.90,4.30,365.42K,4.91%
4/1/12,4.70,4.90,5.10,4.70,419.10K,-4.48%
4/8/12,5.00,4.70,5.00,4.60,404.72K,5.76%
4/15/12,5.30,5.00,5.50,4.90,385.95K,6.05%
4/22/12,5.00,5.30,5.30,4.80,367.93K,-5.32%
4/29/12,5.10,5.00,5.20,4.90,308.53K,2.01%
5/6/12,4.90,5.10,5.10,4.80,326.60K,-2.56%
5/13/12,5.10,4.90,5.10,4.90,282.77K,3.03%
5/20/12,5.10,5.10,5.20,5.10,220.54K,0.00%
5/27/12,5.30,5.10,5.30,5.00,243.86K,2.94%
6/3/12,5.60,5.30,5.70,5.20,327.56K,5.90%
6/10/12,6.40,5.60,6.60,5.40,379.76K,15.11%
6/17/12,6.40,6.40,6.80,6.00,332.47K,0.00%
6/24/12,6.70,6.40,6.70,6.20,277.01K,4.04%
7/1/12,6.80,6.70,6.90,6.40,284.01K,1.05%
7/8/12,7.50,6.80,7.90,6.70,337.91K,11.54%
7/15/12,8.90,7.50,9.70,7.30,789.95K,17.37%
7/22/12,8.90,8.90,9.20,7.80,357.35K,0.00%
7/29/12,11.00,8.90,11.30,8.70,442.24K,23.51%
8/5/12,11.50,11.00,12.00,10.10,379.16K,4.83%
8/12/12,11.60,11.50,15.40,10.60,591.64K,0.87%
8/19/12,10.50,11.60,11.60,7.60,759.29K,-9.39%
8/26/12,10.00,10.50,12.10,9.70,432.01K,-5.23%
9/2/12,11.00,10.00,11.30,9.70,270.47K,10.73%
9/9/12,11.80,11.00,11.80,10.80,260.01K,6.43%
9/16/12,12.20,11.80,12.70,11.70,223.13K,4.17%
9/23/12,12.40,12.20,12.50,11.60,175.00K,0.98%
9/30/12,12.50,12.40,13.10,12.30,210.29K,1.21%
10/7/12,11.90,12.50,12.60,10.60,289.17K,-5.20%
10/14/12,11.70,11.90,12.00,11.40,181.90K,-1.01%
10/21/12,10.30,11.70,12.00,9.70,354.68K,-12.61%
10/28/12,10.60,10.30,11.30,10.30,218.24K,3.70%
11/4/12,10.90,10.60,11.20,10.50,151.53K,2.35%
11/11/12,11.80,10.90,11.80,10.70,202.40K,8.26%
11/18/12,12.40,11.80,12.50,11.60,184.00K,5.26%
11/25/12,12.60,12.40,12.70,11.90,189.37K,1.21%
12/2/12,13.40,12.60,13.70,12.40,226.35K,6.85%
12/9/12,13.50,13.40,13.90,13.00,228.09K,0.52%
12/16/12,13.40,13.50,13.70,12.80,241.51K,-0.89%
12/23/12,13.40,13.40,13.70,13.00,139.46K,0.00%
12/30/12,13.40,13.40,13.60,13.20,142.19K,0.00%
1/6/13,14.20,13.40,14.40,13.40,228.80K,5.95%
1/13/13,15.60,14.20,16.00,13.90,313.71K,9.69%
1/20/13,17.90,15.60,19.20,15.40,485.49K,14.47%
1/27/13,19.60,17.90,21.40,17.20,442.23K,9.79%
2/3/13,23.60,19.60,24.00,19.40,318.71K,20.48%
2/10/13,27.20,23.60,27.60,21.70,466.62K,15.10%
2/17/13,29.80,27.20,31.30,25.00,417.66K,9.48%
2/24/13,34.30,29.80,34.90,29.20,327.36K,14.93%
3/3/13,46.80,34.30,49.10,33.30,520.06K,36.79%
3/10/13,47.00,46.80,48.50,36.70,384.32K,0.32%
3/17/13,64.30,47.00,74.90,46.80,602.06K,36.91%
3/24/13,92.20,64.30,95.70,62.70,511.38K,43.26%
3/31/13,142.60,92.20,147.00,91.00,520.93K,54.71%
4/7/13,93.00,142.60,266.00,54.30,1.38M,-34.80%
4/14/13,126.60,93.00,136.40,50.00,1.81M,36.15%
4/21/13,128.00,126.60,166.40,110.00,876.87K,1.09%
4/28/13,112.90,128.00,149.10,79.00,956.24K,-11.80%
5/5/13,115.60,112.90,124.90,97.50,568.14K,2.43%
5/12/13,123.20,115.60,125.60,103.00,399.53K,6.55%
5/19/13,132.00,123.20,134.00,119.50,157.31K,7.13%
5/26/13,129.30,132.00,136.00,124.00,159.87K,-2.04%
6/2/13,107.90,129.30,130.10,106.20,273.71K,-16.56%
6/9/13,99.80,107.90,112.30,88.00,336.61K,-7.50%
6/16/13,108.20,99.80,115.00,98.90,190.47K,8.42%
6/23/13,95.00,108.20,110.00,92.30,234.92K,-12.20%
6/30/13,69.70,95.00,98.20,65.40,358.77K,-26.67%
7/7/13,98.30,69.70,104.20,66.60,366.12K,41.14%
7/14/13,89.80,98.30,101.90,86.20,177.26K,-8.65%
7/21/13,94.40,89.80,97.50,88.00,105.87K,5.10%
7/28/13,104.90,94.40,111.70,94.00,191.74K,11.18%
8/4/13,103.00,104.90,107.80,101.00,82.99K,-1.86%
8/11/13,112.80,103.00,115.00,102.70,139.76K,9.47%
8/18/13,119.60,112.80,125.00,111.80,160.00K,6.08%
8/25/13,141.00,119.60,148.70,119.10,170.74K,17.89%
9/1/13,129.00,141.00,148.90,121.30,130.89K,-8.52%
9/8/13,136.70,129.00,145.90,124.00,137.01K,5.98%
9/15/13,134.40,136.70,142.20,131.00,73.34K,-1.70%
9/22/13,142.50,134.40,143.00,131.00,77.32K,6.04%
9/29/13,136.70,142.50,145.80,109.70,212.39K,-4.07%
10/6/13,142.90,136.70,143.10,134.10,64.32K,4.53%
10/13/13,183.10,142.90,195.80,141.50,201.72K,28.18%
10/20/13,188.60,183.10,233.40,175.30,254.87K,2.95%
10/27/13,211.70,188.60,216.50,188.90,63.77K,12.27%
11/3/13,367.80,211.70,395.00,212.10,294.92K,73.74%
11/10/13,462.00,367.80,476.90,290.00,228.96K,25.60%
11/17/13,832.50,462.00,900.90,453.30,379.68K,80.21%
11/24/13,1205.70,832.50,1241.90,745.20,213.00K,44.82%
12/1/13,697.00,1205.70,1239.90,576.00,362.23K,-42.19%
12/8/13,908.90,697.00,1067.70,653.00,144.17K,30.40%
12/15/13,640.50,908.90,927.90,454.90,293.97K,-29.54%
12/22/13,762.00,640.50,836.80,615.00,93.74K,18.97%
12/29/13,924.70,762.00,932.20,735.00,74.20K,21.35%
1/5/14,1005.30,924.70,1093.40,858.90,113.16K,8.72%
1/12/14,905.70,1005.30,1022.70,867.20,52.66K,-9.91%
1/19/14,961.00,905.70,980.50,901.90,45.70K,6.11%
1/26/14,940.40,961.00,1038.10,909.50,51.59K,-2.15%
2/2/14,648.80,940.40,959.60,632.10,107.92K,-31.01%
2/9/14,371.10,648.80,700.00,302.20,243.42K,-42.80%
2/16/14,255.60,371.10,540.00,91.70,474.94K,-31.12%
2/23/14,557.40,255.60,650.00,102.30,166.11K,118.08%
3/2/14,609.20,557.40,695.40,541.50,11.29K,9.30%
3/9/14,624.00,609.20,640.80,594.70,21.08K,2.43%
3/16/14,564.30,624.00,627.30,537.20,25.94K,-9.57%
3/23/14,477.10,564.30,575.40,453.80,27.56K,-15.46%
3/30/14,456.60,477.10,487.40,386.70,24.11K,-4.29%
4/6/14,437.60,456.60,485.10,355.70,29.33K,-4.16%
4/13/14,506.00,437.60,549.00,409.90,53.39K,15.62%
4/20/14,457.90,506.00,524.70,438.30,43.03K,-9.52%
4/27/14,438.60,457.90,464.50,420.80,29.46K,-4.20%
5/4/14,451.90,438.60,459.50,420.20,20.89K,3.02%
5/11/14,452.80,451.90,455.90,429.00,13.76K,0.20%
5/18/14,520.50,452.80,540.90,437.30,14.84K,14.95%
5/25/14,627.90,520.50,629.00,520.50,26.11K,20.65%
6/1/14,651.70,627.90,676.50,602.10,28.41K,3.78%
6/8/14,583.40,651.70,663.00,563.70,31.06K,-10.47%
6/15/14,597.00,583.40,614.40,560.80,24.28K,2.33%
6/22/14,597.60,597.00,610.10,565.80,21.33K,0.09%
6/29/14,623.00,597.60,652.50,593.20,26.47K,4.25%
7/6/14,635.90,623.00,638.60,607.30,21.67K,2.08%
7/13/14,627.00,635.90,638.60,610.00,21.18K,-1.39%
7/20/14,596.00,627.00,628.80,593.30,24.42K,-4.95%
7/27/14,591.70,596.00,604.00,564.00,31.26K,-0.72%
8/3/14,589.50,591.70,608.20,580.60,18.80K,-0.37%
8/10/14,522.00,589.50,596.60,483.20,31.57K,-11.45%
8/17/14,497.70,522.00,537.20,450.00,35.33K,-4.66%
8/24/14,506.00,497.70,527.40,496.80,23.33K,1.66%
8/31/14,484.50,506.00,508.30,470.50,44.41K,-4.25%
9/7/14,478.20,484.50,491.00,467.50,44.00K,-1.30%
9/14/14,411.50,478.20,480.30,386.10,62.05K,-13.94%
9/21/14,399.00,411.50,445.50,394.50,99.72K,-3.04%
9/28/14,335.30,399.00,402.30,327.10,123.42K,-15.96%
10/5/14,361.20,335.30,384.60,294.90,200.89K,7.72%
10/12/14,390.90,361.20,407.70,352.30,132.96K,8.21%
10/19/14,346.70,390.90,394.50,341.50,89.27K,-11.30%
10/26/14,325.40,346.70,356.80,320.70,87.78K,-6.14%
11/2/14,343.50,325.40,351.60,319.80,95.14K,5.56%
11/9/14,374.90,343.50,480.50,341.80,197.01K,9.12%
11/16/14,352.00,374.90,412.30,343.80,147.31K,-6.10%
11/23/14,376.30,352.00,395.70,352.60,246.59K,6.89%
11/30/14,376.30,376.30,384.90,366.20,146.15K,0.00%
12/7/14,348.20,376.30,377.90,337.80,200.16K,-7.45%
12/14/14,330.40,348.20,351.60,303.40,266.58K,-5.14%
12/21/14,315.30,330.40,339.30,312.00,161.65K,-4.54%
12/28/14,287.10,315.30,322.80,284.90,158.96K,-8.95%
1/4/15,273.40,287.10,296.10,255.90,252.20K,-4.80%
1/11/15,199.60,273.40,278.00,157.30,536.80K,-26.96%
1/18/15,248.20,199.60,248.90,192.50,277.73K,24.30%
1/25/15,218.50,248.20,310.90,216.50,414.80K,-11.95%
2/1/15,227.70,218.50,247.50,209.70,331.42K,4.20%
2/8/15,258.60,227.70,261.30,214.40,574.78K,13.60%
2/15/15,244.40,258.60,264.60,226.60,703.12K,-5.50%
2/22/15,254.10,244.40,258.70,231.30,479.59K,3.95%
3/1/15,274.90,254.10,287.10,244.80,719.39K,8.21%
3/8/15,281.60,274.90,301.00,271.30,720.71K,2.43%
3/15/15,259.70,281.60,294.00,247.00,662.73K,-7.77%
3/22/15,252.00,259.70,271.00,234.80,627.70K,-2.96%
3/29/15,252.90,252.00,256.50,236.60,489.10K,0.35%
4/5/15,236.50,252.90,261.50,231.30,458.58K,-6.49%
4/12/15,223.40,236.50,237.50,214.30,518.95K,-5.55%
4/19/15,226.10,223.40,238.40,221.60,382.29K,1.25%
4/26/15,235.30,226.10,242.60,214.10,560.49K,4.07%
5/3/15,241.40,235.30,247.90,228.20,547.71K,2.57%
5/10/15,236.20,241.40,244.80,232.40,369.77K,-2.14%
5/17/15,238.90,236.20,242.00,231.30,325.28K,1.15%
5/24/15,233.20,238.90,242.40,231.60,258.05K,-2.39%
5/31/15,224.70,233.20,234.00,221.00,364.19K,-3.64%
6/7/15,232.50,224.70,233.10,222.20,327.87K,3.44%
